time,dbm,temperature,humidity,rtc_timestamp,latitude,longitude
254219,-73,30.8517,33.612652,2025-05-10 13:49:20.607,47.3920374,8.6665952
256516,-73,30.834015,33.507477,2025-05-10 13:49:23.023,47.3920374,8.6665952
258907,-73,30.816326,33.426342,2025-05-10 13:49:25.335,47.3918637,8.667407
261263,-71,30.780952,33.173923,2025-05-10 13:49:27.903,47.3918637,8.667407
263694,-73,30.780952,33.059734,2025-05-10 13:49:30.137,47.3916845,8.6681955
266058,-67,30.710205,32.966579,2025-05-10 13:49:32.535,47.3915273,8.6689447
268415,-69,30.639456,32.897465,2025-05-10 13:49:34.879,47.3915273,8.6689447
270767,-69,30.816326,31.488125,2025-05-10 13:49:37.215,47.3913662,8.6696424
273079,-69,31.117008,25.823734,2025-05-10 13:49:39.559,47.3913662,8.6696424
275408,-63,30.922449,32.599972,2025-05-10 13:49:41.839,47.3912115,8.6703335
277727,-63,30.904762,32.572926,2025-05-10 13:49:44.840,47.3910164,8.6709531
280620,-67,31.099319,24.474495,2025-05-10 13:49:47.160,47.3910164,8.6709531
283050,-67,31.4,24.177002,2025-05-10 13:49:51.172,47.3907443,8.6715281
286896,0,31.559185,23.885517,2025-05-10 13:49:53.495,47.3904297,8.6720413
289372,-75,31.417686,32.104149,2025-05-10 13:49:55.895,47.3904297,8.6720413
291788,-73,31.346939,31.980946,2025-05-10 13:49:58.679,47.3901177,8.6725497
294333,-73,31.470749,31.830694,2025-05-10 13:50:00.855,47.3898216,8.6730329
296749,-77,31.470749,29.16828,2025-05-10 13:50:03.191,47.3898216,8.6730329
299081,-73,31.346939,32.110157,2025-05-10 13:50:05.599,47.3895904,8.673501
301485,-73,31.559185,24.17099,2025-05-10 13:50:07.975,47.3895904,8.673501
303864,-73,31.70068,24.011726,2025-05-10 13:50:10.375,47.3895391,8.6736091
306211,-71,31.930613,23.993696,2025-05-10 13:50:13.415,47.3895442,8.6736276
309256,-65,32.05442,23.52492,2025-05-10 13:50:15.895,47.3895442,8.6736276
311747,-65,32.107483,22.788698,2025-05-10 13:50:18.775,47.3894474,8.6737526
314610,-71,32.001362,31.662418,2025-05-10 13:50:21.095,47.3895552,8.6739455
316977,-73,31.965986,31.650396,2025-05-10 13:50:23.495,47.3895552,8.6739455
319328,-71,32.107483,23.822412,2025-05-10 13:50:26.151,47.3896427,8.6736777
322028,0,32.337414,24.354294,2025-05-10 13:50:28.535,47.3897668,8.6732946
324363,-75,32.408165,24.534594,2025-05-10 13:50:30.871,47.3897668,8.6732946
326766,-73,32.372787,28.876795,2025-05-10 13:50:33.255,47.3899882,8.6728748
329161,-75,32.107483,31.142553,2025-05-10 13:50:35.767,47.3899882,8.6728748
331580,-73,31.983673,31.073437,2025-05-10 13:50:38.167,47.3902822,8.6723844
333964,-75,31.859863,30.932205,2025-05-10 13:50:40.535,47.3906057,8.6718358
336361,-77,31.771427,30.881123,2025-05-10 13:50:42.855,47.3906057,8.6718358
338734,-69,31.736053,30.893139,2025-05-10 13:50:46.696,47.3909349,8.6712803
342591,-63,31.647619,30.805996,2025-05-10 13:50:49.250,47.3911952,8.6706546
345123,-61,31.912926,23.014072,2025-05-10 13:50:51.587,47.3911952,8.6706546
347454,-63,32.107483,22.821753,2025-05-10 13:50:54.015,47.3913608,8.6699491
349844,-61,32.231293,23.188362,2025-05-10 13:50:56.647,47.3915035,8.6692365
352293,0,32.266666,23.152302,2025-05-10 13:50:59.091,47.3915035,8.6692365
354815,-65,32.42585,23.302551,2025-05-10 13:51:01.303,47.3916644,8.6684848
357136,-67,32.478912,23.389694,2025-05-10 13:51:03.759,47.3916644,8.6684848
359559,-71,32.531975,23.341616,2025-05-10 13:51:06.145,47.3918225,8.6677401
361921,-67,32.54966,23.503883,2025-05-10 13:51:08.391,47.391998,8.666962
364266,-73,32.585033,23.56699,2025-05-10 13:51:10.807,47.391998,8.666962
366647,-73,32.655785,23.563984,2025-05-10 13:51:13.278,47.3921714,8.666231
369125,-73,32.67347,23.518909,2025-05-10 13:51:15.567,47.3921714,8.666231
371432,-73,32.726532,23.407724,2025-05-10 13:51:18.482,47.392337,8.6654786
374346,-69,32.797279,23.323586,2025-05-10 13:51:21.357,47.3925015,8.6647268
377182,-71,32.744217,23.401714,2025-05-10 13:51:23.663,47.3925015,8.6647268
379525,-69,32.868027,23.503883,2025-05-10 13:51:26.076,47.3926529,8.6639924
381931,-73,32.9034,23.572998,2025-05-10 13:51:28.684,47.3928094,8.6632393
384331,-69,32.868027,24.110891,2025-05-10 13:51:30.788,47.3928094,8.6632393
386625,-69,32.9034,23.479845,2025-05-10 13:51:33.104,47.3929667,8.6624686
388975,-65,32.991837,23.329596,2025-05-10 13:51:35.491,47.3929667,8.6624686
391301,-69,33.044899,23.062153,2025-05-10 13:51:37.878,47.3931342,8.6617084
393692,-71,33.080273,23.359646,2025-05-10 13:51:40.970,47.3932957,8.6609571
396830,-71,33.115646,23.248461,2025-05-10 13:51:44.760,47.3934624,8.6601812
400572,-73,33.168709,23.095207,2025-05-10 13:51:47.655,47.3934624,8.6601812
403441,-69,33.27483,23.110231,2025-05-10 13:51:50.065,47.393631,8.6594029
405858,-71,33.416328,23.047127,2025-05-10 13:51:52.477,47.3938132,8.6585985
408277,-79,33.327892,23.666153,2025-05-10 13:51:54.951,47.3938132,8.6585985
410674,-71,33.204082,22.632439,2025-05-10 13:51:58.220,47.3939917,8.6578053
413717,0,33.292519,22.428101,2025-05-10 13:52:00.993,47.3941705,8.6570503
416059,-71,33.327892,22.304895,2025-05-10 13:52:02.532,47.3941705,8.6570503
418381,-75,33.115646,29.658091,2025-05-10 13:52:05.025,47.3942908,8.656263
420856,-73,33.080273,29.570948,2025-05-10 13:52:07.341,47.3942908,8.656263
423165,-61,32.779591,29.543903,2025-05-10 13:52:09.731,47.3943971,8.6554696
425485,-73,32.974152,22.103561,2025-05-10 13:52:15.047,47.3944824,8.6546814
430653,-65,33.097961,22.334946,2025-05-10 13:52:17.191,47.3945723,8.6538784
433008,-65,33.204082,21.745968,2025-05-10 13:52:19.663,47.3945723,8.6538784
437756,-67,32.868027,29.336557,2025-05-10 13:52:24.848,47.3946572,8.6523098
435380,-71,33.097961,27.419378,2025-05-10 13:52:26.203,47.3946572,8.6523098
440712,-67,33.221767,21.616755,2025-05-10 13:52:27.167,47.3946572,8.6523098
442992,-63,33.257141,21.664835,2025-05-10 13:52:30.050,47.3946954,8.6515247
445878,-63,33.327892,21.35532,2025-05-10 13:52:32.394,47.3947258,8.65075
448204,-69,33.434013,27.704853,2025-05-10 13:52:34.682,47.3947258,8.65075
450516,-67,33.292519,29.060101,2025-05-10 13:52:37.410,47.394744,8.6499274
453230,-63,33.39864,21.430447,2025-05-10 13:52:39.721,47.394744,8.6499274
455561,-63,33.39864,21.610744,2025-05-10 13:52:42.532,47.394789,8.6490582
458342,-63,33.469387,21.748974,2025-05-10 13:52:44.846,47.3948495,8.6482038
460674,-65,33.540138,21.812078,2025-05-10 13:52:47.161,47.3948495,8.6482038
462992,-59,33.593197,21.59572,2025-05-10 13:52:49.889,47.3949316,8.6473572
465703,-71,33.734695,21.499561,2025-05-10 13:52:52.203,47.3950268,8.6465277
468055,-55,33.75238,21.364336,2025-05-10 13:52:54.528,47.3950268,8.6465277
470346,-51,33.75238,21.520596,2025-05-10 13:52:58.614,47.3951008,8.6457089
474399,-51,33.787754,21.199062,2025-05-10 13:53:00.920,47.3951598,8.6448575
476749,-53,33.805443,21.193052,2025-05-10 13:53:03.242,47.3951598,8.6448575
479065,-53,33.823128,21.144972,2025-05-10 13:53:06.208,47.3951981,8.6439997
482004,-67,33.87619,21.111917,2025-05-10 13:53:09.167,47.3952593,8.643132
484967,-51,33.787754,21.53562,2025-05-10 13:53:11.492,47.3952593,8.643132
487309,-57,33.770069,21.37936,2025-05-10 13:53:13.800,47.3953312,8.6423054
489619,-55,33.87619,21.487541,2025-05-10 13:53:16.770,47.3954094,8.6414928
492576,-51,33.823128,21.135958,2025-05-10 13:53:19.082,47.3954094,8.6414928
494905,-51,33.87619,21.072853,2025-05-10 13:53:22.365,47.395476,8.6407858
498163,-51,33.858505,20.877529,2025-05-10 13:53:24.680,47.3955735,8.64043
500491,-51,33.858505,20.537966,2025-05-10 13:53:27.649,47.3955735,8.64043
503463,-51,33.770069,20.709249,2025-05-10 13:53:29.960,47.3955735,8.64043
505791,-51,33.946938,19.393066,2025-05-10 13:53:32.280,47.3955723,8.6399614
508111,-51,33.946938,20.598064,2025-05-10 13:53:34.602,47.3955723,8.6399614
510417,-51,34.0,20.730286,2025-05-10 13:53:37.568,47.3956438,8.6386935
513358,-51,34.017685,20.634125,2025-05-10 13:53:39.880,47.3956438,8.6386935
515695,-51,33.982315,20.877529,2025-05-10 13:53:44.845,47.3957091,8.6378111
520634,-51,34.070747,21.316256,2025-05-10 13:53:47.205,47.3957604,8.6369274
522963,-51,33.964626,21.141968,2025-05-10 13:53:49.504,47.3958198,8.6361232
525282,-51,34.0,20.979698,2025-05-10 13:53:51.800,47.3958198,8.6361232
527601,-51,34.053062,21.199062,2025-05-10 13:53:54.135,47.3958877,8.6353668
529932,0,33.946938,21.232117,2025-05-10 13:53:56.440,47.3958877,8.6353668
532241,-51,33.982315,20.952652,2025-05-10 13:53:58.760,47.3959912,8.6346176
534554,-51,34.017685,20.805408,2025-05-10 13:54:01.160,47.3961852,8.6338387
536958,-51,33.75238,20.793388,2025-05-10 13:54:03.482,47.3961852,8.6338387
539270,-51,33.823128,20.829449,2025-05-10 13:54:05.800,47.3964611,8.6330849
541595,-51,33.858505,23.266491,2025-05-10 13:54:08.939,47.3964611,8.6330849
544706,-51,33.911564,20.829449,2025-05-10 13:54:11.975,47.3967769,8.6323289
547773,-51,33.929253,21.38537,2025-05-10 13:54:14.871,47.3970863,8.6315961
550353,-51,33.911564,20.706245,2025-05-10 13:54:17.403,47.3973758,8.6309451
553182,-51,33.946938,26.472809,2025-05-10 13:54:21.089,47.3976421,8.6303273
556860,-51,34.017685,20.700233,2025-05-10 13:54:23.411,47.3976421,8.6303273
559187,-51,34.017685,20.772354,2025-05-10 13:54:25.721,47.3979039,8.6297303
561509,-51,34.053062,20.447815,2025-05-10 13:54:28.063,47.3979039,8.6297303
563849,0,34.053062,20.619099,2025-05-10 13:54:32.462,47.3981602,8.6291271
568220,-55,34.053062,20.477867,2025-05-10 13:54:34.761,47.3984171,8.6285352
570559,-53,33.982315,21.184036,2025-05-10 13:54:37.735,47.398711,8.6279897
573489,-51,33.681633,27.945251,2025-05-10 13:54:40.040,47.398711,8.6279897
575831,-55,33.504761,27.897171,2025-05-10 13:54:42.361,47.3990242,8.6274968
578160,-51,33.257141,27.843082,2025-05-10 13:54:44.715,47.3990242,8.6274968
580459,-51,33.221767,27.770962,2025-05-10 13:54:47.014,47.3993081,8.6269792
582788,-51,33.204082,19.915934,2025-05-10 13:54:49.321,47.3995557,8.6264243
585124,-51,33.416328,20.312592,2025-05-10 13:54:51.657,47.3995557,8.6264243
587455,-51,33.504761,20.559,2025-05-10 13:54:54.045,47.3997903,8.6258278
589781,0,33.451698,20.574024,2025-05-10 13:54:56.361,47.3997903,8.6258278
592148,-51,33.345577,20.417767,2025-05-10 13:54:58.681,47.4000248,8.6252576
594463,-51,33.451698,20.39072,2025-05-10 13:55:01.412,47.4002507,8.6246968
597181,-51,33.434013,22.57835,2025-05-10 13:55:03.721,47.4002507,8.6246968
599513,-51,33.469387,20.372692,2025-05-10 13:55:06.040,47.400417,8.6242915
601810,-53,33.522449,20.411757,2025-05-10 13:55:08.760,47.400417,8.6242915
604518,-51,33.133331,28.116535,2025-05-10 13:55:11.720,47.4005453,8.6242294
607470,-59,32.974152,28.104517,2025-05-10 13:55:14.374,47.4006926,8.6244666
610063,-59,32.797279,28.206684,2025-05-10 13:55:16.600,47.4006926,8.6244666
612390,-65,32.691154,28.338903,2025-05-10 13:55:19.000,47.4009283,8.6248979
614769,-65,32.531975,28.338903,2025-05-10 13:55:22.466,47.4011798,8.6253861
618189,-71,32.390476,28.456097,2025-05-10 13:55:24.841,47.4011798,8.6253861
620574,-71,32.160545,28.486149,2025-05-10 13:55:29.489,47.4017156,8.6263359
625230,-69,31.965986,28.564276,2025-05-10 13:55:31.889,47.4017156,8.6263359
627642,-63,31.806803,28.645412,2025-05-10 13:55:34.223,47.4019641,8.626726
629967,-69,31.718369,28.660437,2025-05-10 13:55:36.533,47.4019641,8.626726
632317,-71,31.594559,28.627384,2025-05-10 13:55:38.879,47.402066,8.6269139
